,Target,ss_acc,rsa_mae,rsa_r2,hit_num,mean_evalue
0,T1024,0.907928388746803,18.200511932373047,0.0033427148360672954,500,2.7563676366521094e-126
1,T1025,0.9182879377431906,12.646693229675293,0.5425358941776921,500,1.5674792886721462e-87
2,T1026,0.6027397260273972,20.07602882385254,0.02786332520389123,23,0.9425347826086956
3,T1027,0.6666666666666666,24.202381134033203,0.009109873431592308,26,0.6656570384615386
70,T1028,,,,500,3.027340296276507e-137
4,T1029,0.736,20.125595092773438,0.03488991289298571,245,0.29333165307943554
5,T1030,0.7728937728937729,15.75054931640625,0.31772614489724393,500,0.8870116744454081
6,T1031,0.631578947368421,21.274736404418945,0.29116386534114747,24,2.340958
7,T1032,0.7941176470588235,19.86705780029297,0.0954194449866822,500,6.453160368859596e-19
8,T1033,0.79,15.997000694274902,0.35513444126114246,26,1.576112642307692
53,T1034,,,,500,4.306765835673911e-46
9,T1035,0.6568627450980392,21.084314346313477,-0.03507402745996324,20,3.84591315
10,T1036s1,0.9279588336192109,18.425901412963867,0.1924310642342193,432,0.21180332312476052
11,T1037,0.7103960396039604,19.64925765991211,0.12259216583121069,55,2.4258551794735372
12,T1038,0.6421052631578947,18.67210578918457,0.2669599751962345,42,0.6290151190476191
13,T1039,0.782608695652174,15.563353538513184,0.47696479410962056,26,2.2122720053846154
14,T1040,0.7,24.520771026611328,-0.5308954273811095,34,3.11378609117647
15,T1041,0.6611570247933884,18.642562866210938,0.2124411766937111,38,0.8078366404252391
16,T1042,0.6521739130434783,21.450000762939453,0.05631201697982735,7,4.413860285714286
17,T1043,0.5743243243243243,22.718242645263672,0.012492320607187413,11,1.3450001636363638
74,T1045s1,,,,500,4.5876154451153793e-63
40,T1045s2,,,,488,0.14719679533732527
18,T1046s1,0.7638888888888888,18.163888931274414,0.2589174012879555,48,0.12890376574894066
19,T1046s2,0.7375886524822695,18.21489143371582,0.1156096610044055,67,0.941751986107132
66,T1047s1,,,,500,6.919758928596653e-100
64,T1047s2,,,,500,0.0
75,T1048,,,,500,1.1664434079646868e-12
20,T1049,0.6791044776119403,19.03731346130371,0.12794966151731446,221,0.332312660031367
21,T1050,0.8235294117647058,14.627321243286133,0.40055721550823653,500,0.0
57,T1051,,,,500,4.2023619389974294e-57
44,T1052,,,,500,6.41317051351275e-16
79,T1053,,,,268,1.359296230403563
22,T1054,0.8601398601398601,19.26433563232422,0.14436400790356807,500,1.86234297183451e-62
49,T1055,,,,64,0.8703293423995273
23,T1056,0.7396449704142012,18.45325469970703,0.14476901443630386,500,2.900730547838502e-41
65,T1057,,,,500,2.0189728919849522e-63
36,T1058,,,,500,7.788158530505028e-131
68,T1059,,,,19,2.3544275657310525
43,T1060s2,,,,42,0.6532708105106058
73,T1060s3,,,,158,1.042457062409701
46,T1061,,,,500,2.114996554537863e-59
59,T1062,,,,17,0.9351306134067118
55,T1063,,,,500,2.521589612514023e-56
24,T1064,0.6666666666666666,22.566665649414062,-0.1503610243116853,37,1.955185459459462
61,T1065s1,,,,500,0.013895236218645494
82,T1065s2,,,,500,9.551832143439678e-16
72,T1066s1,,,,500,7.327879219673376e-62
77,T1066s2,,,,48,0.6725872854166667
25,T1067,0.7828054298642534,16.06063461303711,0.2975652001585307,500,8.050325852879692e-21
58,T1068,,,,40,0.254393018755
76,T1069s1,,,,500,1.331532132406151e-79
69,T1069s2,,,,43,0.8808239232558139
39,T1070,,,,500,0.02314064416303445
56,T1071,,,,500,0.0
80,T1072s1,,,,447,1.492010482606394
78,T1072s2,,,,245,1.1157733894242734
26,T1073,0.847457627118644,26.464406967163086,-0.3914579433893084,500,1.431088349885918e-58
27,T1074,0.7045454545454546,19.424999237060547,0.11746362831668478,17,2.0211265294117644
52,T1075,,,,500,1.4675002663590554e-60
81,T1076,,,,500,0.0
54,T1077,,,,500,3.226511602091901e-10
47,T1078,,,,377,0.23163691175274712
28,T1079,0.8381742738589212,13.823444366455078,0.47548469638950763,500,0.0
29,T1080,0.7969924812030075,45.53533935546875,-2.532215340437943,500,6.604280607011194e-25
30,T1082,0.7066666666666667,15.47733211517334,0.48239766163216147,47,1.2418281733335106
38,T1083,,,,500,8.526648231647499e-08
50,T1084,,,,129,0.7504377635612974
62,T1085,,,,203,0.40613988854228744
63,T1086,,,,500,1.5936678162954012e-20
33,T1087,,,,36,1.7649469392368515
60,T1088,,,,500,2.7828302222282326e-69
51,T1089,,,,500,1.3774577627629228e-108
31,T1090,0.7566137566137566,18.47513198852539,0.23320547285768012,454,0.2645171270104909
34,T1091,,,,500,1.4109345527573875e-26
48,T1092,,,,500,1.0744334021082099e-148
37,T1093,,,,500,0.0
41,T1094,,,,500,4.109951648727084e-11
71,T1095,,,,500,0.0
42,T1096,,,,8,0.08015750870951249
35,T1098,,,,500,0.0
32,T1099,0.8351063829787234,23.806381225585938,-0.2849318986211633,446,0.15833269568245872
67,T1100,,,,500,2.548207018393697e-19
45,T1101,,,,500,4.883024875107397e-79
